Wall time,Step,Value
1735105736.0,0,-1.6231
1735105736.0,1,-2.5957
1735105736.0,2,-3.3815
1735105736.0,3,-4.07
1735105736.0,4,-4.4024
1735105736.0,5,-4.6898
1735105736.0,6,-5.387
1735105736.0,7,-5.8406
1735105736.0,8,-6.2976
1735105736.0,9,-6.6374
1735105736.0,10,-6.81
1735105736.0,11,-7.1518
1735105736.0,12,-7.3917
1735105736.0,13,-7.2506
1735105736.0,14,-7.4748
1735105736.0,15,-7.4939
1735105736.0,16,-7.7085
1735105736.0,17,-7.5928
1735105736.0,18,-7.8743
1735105736.0,19,-7.4518
1735105736.0,20,-7.7924
1735105736.0,21,-6.9958
1735105736.0,22,-7.3876
1735105736.0,23,-7.6894
1735105736.0,24,-7.7316
1735105736.0,25,-7.8183
1735105736.0,26,-7.9826
1735105736.0,27,-8.0033
1735105736.0,28,-8.0958
1735105736.0,29,-7.7743
1735105736.0,30,-7.484
1735105736.0,31,-7.6844
1735105736.0,32,-8.1058
1735105736.0,33,-7.7805
1735105736.0,34,-8.1444
1735105736.0,35,-8.2781
1735105736.0,36,-7.864
1735105736.0,37,-7.2996
1735105736.0,38,-7.6247
1735105736.0,39,-7.2911
1735105736.0,40,-7.4978
1735105736.0,41,-7.6072
1735105736.0,42,-7.4546
1735105736.0,43,-7.5527
1735105736.0,44,-7.5124
1735105736.0,45,-7.6865
1735105736.0,46,-7.7778
1735105736.0,47,-7.7822
1735105736.0,48,-7.4312
1735105736.0,49,-7.2983
1735105736.0,50,-7.2712
1735105736.0,51,-7.566
1735105736.0,52,-7.7855
1735105736.0,53,-7.8043
1735105736.0,54,-7.7872
1735105736.0,55,-7.3243
1735105736.0,56,-7.6429
1735105736.0,57,-7.7275
1735105736.0,58,-7.7494
1735105736.0,59,-7.6933
1735105736.0,60,-7.7331
1735105736.0,61,-7.7902
1735105736.0,62,-7.8946
1735105736.0,63,-8.1722
1735105736.0,64,-7.7239
1735105736.0,65,-8.0179
1735105736.0,66,-8.0079
