Wall time,Step,Value
1735105736.0,0,-0.8991
1735105736.0,1,-1.7203
1735105736.0,2,-2.4274
1735105736.0,3,-3.0665
1735105736.0,4,-3.4071
1735105736.0,5,-3.705
1735105736.0,6,-4.383
1735105736.0,7,-4.8613
1735105736.0,8,-5.3066
1735105736.0,9,-5.6617
1735105736.0,10,-5.8382
1735105736.0,11,-6.1841
1735105736.0,12,-6.4381
1735105736.0,13,-6.3104
1735105736.0,14,-6.5406
1735105736.0,15,-6.559
1735105736.0,16,-6.7872
1735105736.0,17,-6.6783
1735105736.0,18,-6.9605
1735105736.0,19,-6.5361
1735105736.0,20,-6.885
1735105736.0,21,-6.0802
1735105736.0,22,-6.4842
1735105736.0,23,-6.7829
1735105736.0,24,-6.8292
1735105736.0,25,-6.9156
1735105736.0,26,-7.0801
1735105736.0,27,-7.1005
1735105736.0,28,-7.1993
1735105736.0,29,-6.884
1735105736.0,30,-6.5969
1735105736.0,31,-6.7966
1735105736.0,32,-7.2205
1735105736.0,33,-6.8985
1735105736.0,34,-7.255
1735105736.0,35,-7.3916
1735105736.0,36,-6.9751
1735105736.0,37,-6.4201
1735105736.0,38,-6.7419
1735105736.0,39,-6.4092
1735105736.0,40,-6.6188
1735105736.0,41,-6.7291
1735105736.0,42,-6.5765
1735105736.0,43,-6.6763
1735105736.0,44,-6.6415
1735105736.0,45,-6.8106
1735105736.0,46,-6.9177
1735105736.0,47,-6.9063
1735105736.0,48,-6.5609
1735105736.0,49,-6.4258
1735105736.0,50,-6.3992
1735105736.0,51,-6.6968
1735105736.0,52,-6.9127
1735105736.0,53,-6.9349
1735105736.0,54,-6.913
1735105736.0,55,-6.4537
1735105736.0,56,-6.7705
1735105736.0,57,-6.8677
1735105736.0,58,-6.8894
1735105736.0,59,-6.8264
1735105736.0,60,-6.8715
1735105736.0,61,-6.9278
1735105736.0,62,-7.0336
1735105736.0,63,-7.3038
1735105736.0,64,-6.8547
1735105736.0,65,-7.1479
1735105736.0,66,-7.1386
1735105736.0,67,-7.2822
1735105736.0,68,-7.0484
1735105736.0,69,-7.3332
1735105736.0,70,-6.7109
1735105736.0,71,-7.2234
1735105736.0,72,-7.3183
1735105736.0,73,-7.2469
1735105736.0,74,-7.5075
1735105736.0,75,-7.2543
